first_name,last_name,birth_date,nationality,position,preferred_foot,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,salary,team_short_name
Pietro,Terracciano,1990-07-01,ITA,GK,RIGHT,73,73,35,20,58,25,20,73,22400000,2560000,MIL
Fikayo,Tomori,1997-07-01,ENG,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,MIL
Tom,Bischof,2005-07-01,GER,CB,RIGHT,80,83,77,74,77,80,82,80,42000000,4800000,BAY
Sacha,Boey,2000-07-01,FRA,CB,RIGHT,81,81,78,75,78,81,83,81,44800000,5120000,BAY
Maycon,Cardozo,2008-07-01,BRA,CM,RIGHT,82,88,84,76,84,82,64,82,47600000,5440000,BAY
Felipe,Chávez,2007-07-01,PER,CM,RIGHT,83,88,85,77,85,83,65,83,50400000,5760000,BAY
David,Daiber,2007-07-01,POR,ST,RIGHT,84,89,86,87,81,84,66,84,53200000,6080000,BAY
Alphonso,Davies,2000-07-01,CAN,CB,RIGHT,85,85,82,79,82,85,87,85,56000000,6400000,BAY
Luis,Díaz,1997-07-01,COL,CM,RIGHT,86,86,88,80,88,86,68,86,58800000,6720000,BAY
Serge,Gnabry,1995-07-01,GER,CM,RIGHT,87,87,89,81,89,87,69,87,61600000,7040000,BAY
Leon,Goretzka,1995-07-01,GER,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,BAY
Raphaël,Guerreiro,1993-07-01,POR,CM,RIGHT,81,81,83,75,83,81,63,81,44800000,5120000,BAY
Hiroki,Ito,1999-07-01,JPN,CB,RIGHT,82,82,79,76,79,82,84,82,47600000,5440000,BAY
Nicolas,Jackson,2001-07-01,SEN,ST,RIGHT,83,83,85,86,80,83,65,83,50400000,5760000,BAY
Harry,Kane,1993-07-01,ENG,CM,RIGHT,84,84,86,78,86,84,66,84,53200000,6080000,BAY
Lennart,Karl,2008-07-01,GER,CM,RIGHT,85,91,87,79,87,85,67,85,56000000,6400000,BAY
Cassiano,Kiala,2009-07-01,GER,CB,RIGHT,86,93,83,80,83,86,88,86,58800000,6720000,BAY
Joshua,Kimmich,1995-07-01,GER,CM,RIGHT,87,87,89,81,89,87,69,87,61600000,7040000,BAY
Jonah,Kusi-Asare,2007-07-01,SWE,ST,RIGHT,80,85,82,83,77,80,62,80,42000000,4800000,BAY
Konrad,Laimer,1997-07-01,AUT,CB,RIGHT,81,81,78,75,78,81,83,81,44800000,5120000,BAY
Wisdom,Mike,2008-07-01,GER,ST,RIGHT,82,88,84,85,79,82,64,82,47600000,5440000,BAY
Kim,Min-jae,1996-07-01,KOR,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,BAY
Jamal,Musiala,2003-07-01,GER,CM,RIGHT,84,85,86,78,86,84,66,84,53200000,6080000,BAY
Bara,Ndiaye,2007-07-01,SEN,CM,RIGHT,85,90,87,79,87,85,67,85,56000000,6400000,BAY
Manuel,Neuer,1986-07-01,GER,GK,RIGHT,86,86,35,20,71,25,20,86,58800000,6720000,BAY
Deniz,Ofli,2007-07-01,TUR,CB,RIGHT,87,92,84,81,84,87,89,87,61600000,7040000,BAY
Michael,Olise,2001-07-01,FRA,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,BAY
Erblin,Osmani,2009-07-01,GER,CM,RIGHT,81,88,83,75,83,81,63,81,44800000,5120000,BAY
Aleksandar,Pavlovic,2004-07-01,GER,CM,RIGHT,82,84,84,76,84,82,64,82,47600000,5440000,BAY
Josip,Stanišić,2000-07-01,CRO,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,BAY
Jonathan,Tah,1996-07-01,GER,CB,RIGHT,84,84,81,78,81,84,86,84,53200000,6080000,BAY
Sven,Ulreich,1988-07-01,GER,GK,RIGHT,85,85,35,20,70,25,20,85,56000000,6400000,BAY
Dayot,Upamecano,1998-07-01,FRA,CB,RIGHT,86,86,83,80,83,86,88,86,58800000,6720000,BAY
Jonas,Urbig,2003-07-01,GER,GK,RIGHT,87,88,35,20,72,25,20,87,61600000,7040000,BAY
Karim,Adeyemi,2002-07-01,GER,CM,RIGHT,73,73,75,67,75,73,55,73,22400000,2560000,BVB
Mathis,Albert,2009-07-01,USA,ST,RIGHT,74,81,76,77,71,74,56,74,25200000,2880000,BVB
Aaron,Anselmino,2005-07-01,ARG,CB,RIGHT,75,78,72,69,72,75,77,75,28000000,3200000,BVB
Waldemar,Anton,1996-07-01,GER,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,BVB
Maximilian,Beier,2002-07-01,GER,CM,RIGHT,77,77,79,71,79,77,59,77,33600000,3840000,BVB
Jobe,Bellingham,2005-07-01,ENG,CM,RIGHT,78,81,80,72,80,78,60,78,36400000,4160000,BVB
Ramy,Bensebaini,1995-07-01,ALG,CB,RIGHT,79,79,76,73,76,79,81,79,39200000,4480000,BVB
Julian,Brandt,1996-07-01,GER,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,BVB
Cole,Campbell,2006-07-01,USA,ST,RIGHT,73,77,75,76,70,73,55,73,22400000,2560000,BVB
Emre,Can,1994-07-01,GER,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,BVB
Carney,Chukwuemeka,2003-07-01,AUT,CM,RIGHT,75,76,77,69,77,75,57,75,28000000,3200000,BVB
Yan,Couto,2002-07-01,BRA,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,BVB
Pascal,Groß,1991-07-01,GER,CM,RIGHT,77,77,79,71,79,77,59,77,33600000,3840000,BVB
Serhou,Guirassy,1996-07-01,GUI,ST,RIGHT,78,78,80,81,75,78,60,78,36400000,4160000,BVB
Samuele,Inácio,2008-07-01,ITA,CM,RIGHT,79,85,81,73,81,79,61,79,39200000,4480000,BVB
Almugera,Kabar,2006-07-01,GER,CB,RIGHT,80,84,77,74,77,80,82,80,42000000,4800000,BVB
Gregor,Kobel,1997-07-01,SUI,GK,RIGHT,73,73,35,20,58,25,20,73,22400000,2560000,BVB
Filippo,Mane,2005-07-01,ITA,CB,RIGHT,74,77,71,68,71,74,76,74,25200000,2880000,BVB
Felix,Nmecha,2000-07-01,GER,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,BVB
Salih,Özcan,1998-07-01,TUR,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,BVB
Luca,Reggiani,2008-07-01,ITA,CB,RIGHT,77,83,74,71,74,77,79,77,33600000,3840000,BVB
Julian,Ryerson,1997-07-01,NOR,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,BVB
Marcel,Sabitzer,1994-07-01,AUT,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,BVB
Nico,Schlotterbeck,1999-07-01,GER,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,BVB
Fábio,Silva,2002-07-01,POR,CM,RIGHT,73,73,75,67,75,73,55,73,22400000,2560000,BVB
Niklas,Süle,1995-07-01,GER,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,BVB
Daniel,Svensson,2002-07-01,SWE,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,BVB
Diego,Aguado,2007-07-01,ESP,CB,RIGHT,81,86,78,75,78,81,83,81,44800000,5120000,RMA
David,Alaba,1992-07-01,AUT,CB,RIGHT,82,82,79,76,79,82,84,82,47600000,5440000,RMA
Trent,Alexander-Arnold,1998-07-01,ENG,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,RMA
Manuel,Ángel,2004-07-01,ESP,CM,RIGHT,84,86,86,78,86,84,66,84,53200000,6080000,RMA
Raúl,Asencio,2003-07-01,ESP,CB,RIGHT,85,86,82,79,82,85,87,85,56000000,6400000,RMA
Eduardo,Camavinga,2002-07-01,FRA,CM,RIGHT,86,86,88,80,88,86,68,86,58800000,6720000,RMA
Álvaro,Carreras,2003-07-01,ESP,CB,RIGHT,87,88,84,81,84,87,89,87,61600000,7040000,RMA
Dani,Carvajal,1992-07-01,ESP,CB,RIGHT,88,88,85,82,85,88,90,88,64400000,7360000,RMA
Dani,Ceballos,1996-07-01,ESP,CM,RIGHT,81,81,83,75,83,81,63,81,44800000,5120000,RMA
Jorge,Cestero,2006-07-01,ESP,CM,RIGHT,82,86,84,76,84,82,64,82,47600000,5440000,RMA
Thibaut,Courtois,1992-07-01,BEL,GK,RIGHT,83,83,35,20,68,25,20,83,50400000,5760000,RMA
Brahim,Díaz,1999-07-01,MAR,CM,RIGHT,84,84,86,78,86,84,66,84,53200000,6080000,RMA
Endrick,-,2006-07-01,BRA,ST,RIGHT,85,89,87,88,82,85,67,85,56000000,6400000,RMA
Fran,Garcia,1999-07-01,ESP,CB,RIGHT,86,86,83,80,83,86,88,86,58800000,6720000,RMA
Gonzalo,García,2004-07-01,ESP,ST,RIGHT,87,89,89,90,84,87,69,87,61600000,7040000,RMA
Arda,Güler,2005-07-01,TUR,CM,RIGHT,88,91,90,82,90,88,70,88,64400000,7360000,RMA
Dean,Huijsen,2005-07-01,ESP,CB,RIGHT,81,84,78,75,78,81,83,81,44800000,5120000,RMA
David,Jiménez,2004-07-01,ESP,CB,RIGHT,82,84,79,76,79,82,84,82,47600000,5440000,RMA
Vinicius,Júnior,2000-07-01,BRA,CM,RIGHT,83,83,85,77,85,83,65,83,50400000,5760000,RMA
Álvaro,Leiva,2002-07-01,ESP,ST,RIGHT,84,84,86,87,81,84,66,84,53200000,6080000,RMA
Andriy,Lunin,1999-07-01,UKR,GK,RIGHT,85,85,35,20,70,25,20,85,56000000,6400000,RMA
Franco,Mastantuono,2007-07-01,ARG,CM,RIGHT,86,91,88,80,88,86,68,86,58800000,6720000,RMA
Kylian,Mbappé,1998-07-01,FRA,ST,RIGHT,87,87,89,90,84,87,69,87,61600000,7040000,RMA
Ferland,Mendy,1995-07-01,FRA,CB,RIGHT,88,88,85,82,85,88,90,88,64400000,7360000,RMA
Éder,Militão,1998-07-01,BRA,CB,RIGHT,81,81,78,75,78,81,83,81,44800000,5120000,RMA
César,Palacios,2004-07-01,ESP,CM,RIGHT,82,84,84,76,84,82,64,82,47600000,5440000,RMA
Thiago,Pinar,2007-07-01,ESP,CM,RIGHT,83,88,85,77,85,83,65,83,50400000,5760000,RMA
Rodrygo,-,2001-07-01,BRA,CM,RIGHT,84,84,86,78,86,84,66,84,53200000,6080000,RMA
Antonio,Rüdiger,1993-07-01,GER,CB,RIGHT,85,85,82,79,82,85,87,85,56000000,6400000,RMA
Manuel,Serrano,2004-07-01,ESP,CB,RIGHT,86,88,83,80,83,86,88,86,58800000,6720000,RMA
Aurélien,Tchouaméni,2000-07-01,FRA,CM,RIGHT,87,87,89,81,89,87,69,87,61600000,7040000,RMA
Victor,Valdepeñas,2006-07-01,ESP,CB,RIGHT,88,92,85,82,85,88,90,88,64400000,7360000,RMA
Federico,Valverde,1998-07-01,URU,CB,RIGHT,81,81,78,75,78,81,83,81,44800000,5120000,RMA
Daniel,Yáñez,2007-07-01,ESP,CM,RIGHT,82,87,84,76,84,82,64,82,47600000,5440000,RMA
Julen,Agirrezabala,2000-07-01,ESP,GK,RIGHT,66,66,35,20,51,25,20,66,2800000,400000,VCF
Domingos,André Ribeiro Almeida,2000-07-01,POR,CM,RIGHT,67,67,69,61,69,67,49,67,5600000,640000,VCF
Lucas,Beltrán,2001-07-01,ARG,ST,RIGHT,68,68,70,71,65,68,50,68,8400000,960000,VCF
Eray,Cömert,1998-07-01,SUI,CB,RIGHT,69,69,66,63,66,69,71,69,11200000,1280000,VCF
Copete,-,1999-07-01,ESP,CB,RIGHT,70,70,67,64,67,70,72,70,14000000,1600000,VCF
Thierry,Correia,1999-07-01,POR,CB,RIGHT,71,71,68,65,68,71,73,71,16800000,1920000,VCF
Arnaut,Danjuma,1997-07-01,NED,CM,RIGHT,72,72,74,66,74,72,54,72,19600000,2240000,VCF
Mouctar,Diakhaby,1996-07-01,GUI,CB,RIGHT,73,73,70,67,70,73,75,73,22400000,2560000,VCF
Stole,Dimitrievski,1993-07-01,MKD,GK,RIGHT,66,66,35,20,51,25,20,66,2800000,400000,VCF
Dimitri,Foulquier,1993-07-01,FRA,CB,RIGHT,67,67,64,61,64,67,69,67,5600000,640000,VCF
Javier,Guerra,2003-07-01,ESP,CM,RIGHT,68,69,70,62,70,68,50,68,8400000,960000,VCF
Ruben,Lendinez,2003-07-01,ESP,CB,RIGHT,69,70,66,63,66,69,71,69,11200000,1280000,VCF
Diego,López,2002-07-01,ESP,CM,RIGHT,70,70,72,64,72,70,52,70,14000000,1600000,VCF
José,Luis Gayà,1995-07-01,ESP,CB,RIGHT,71,71,68,65,68,71,73,71,16800000,1920000,VCF
Unai,Núñez,1997-07-01,ESP,CB,RIGHT,72,72,69,66,69,72,74,72,19600000,2240000,VCF
Dani,Raba,1995-07-01,ESP,ST,RIGHT,73,73,75,76,70,73,55,73,22400000,2560000,VCF
Largie,Ramazani,2001-07-01,BEL,CM,RIGHT,66,66,68,60,68,66,48,66,2800000,400000,VCF
Luis,Rioja,1993-07-01,ESP,CM,RIGHT,67,67,69,61,69,67,49,67,5600000,640000,VCF
Guido,Rodríguez,1994-07-01,ARG,CM,RIGHT,68,68,70,62,70,68,50,68,8400000,960000,VCF
Umar,Sadiq,1997-07-01,NGA,ST,RIGHT,69,69,71,72,66,69,51,69,11200000,1280000,VCF
Baptiste,Santamaria,1995-07-01,FRA,CM,RIGHT,70,70,72,64,72,70,52,70,14000000,1600000,VCF
Renzo,Saravia,1993-07-01,ARG,CB,RIGHT,71,71,68,65,68,71,73,71,16800000,1920000,VCF
César,Tárrega,2002-07-01,ESP,CB,RIGHT,72,72,69,66,69,72,74,72,19600000,2240000,VCF
Filip,Ugrinic,1999-07-01,SUI,CM,RIGHT,73,73,75,67,75,73,55,73,22400000,2560000,VCF
José,Luis García Vayá,1998-07-01,ESP,CB,RIGHT,66,66,63,60,63,66,68,66,2800000,400000,VCF
Jesus,Vazquez,2003-07-01,ESP,CB,RIGHT,67,68,64,61,64,67,69,67,5600000,640000,VCF
Thiago,Almada,2001-07-01,ARG,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,ATM
Julián,Álvarez,2000-07-01,ARG,ST,RIGHT,77,77,79,80,74,77,59,77,33600000,3840000,ATM
Alex,Baena,2001-07-01,ESP,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,ATM
Pablo,Barrios,2003-07-01,ESP,CM,RIGHT,79,80,81,73,81,79,61,79,39200000,4480000,ATM
Rayane,Belaid,2005-07-01,ESP,CM,RIGHT,80,83,82,74,82,80,62,80,42000000,4800000,ATM
Javier,Boñar,2005-07-01,ESP,CB,RIGHT,81,84,78,75,78,81,83,81,44800000,5120000,ATM
Johnny,Cardoso,2001-07-01,USA,CM,RIGHT,82,82,84,76,84,82,64,82,47600000,5440000,ATM
Miguel,Cubo,2008-07-01,ESP,ST,RIGHT,83,89,85,86,80,83,65,83,50400000,5760000,ATM
Julio,Diaz,2005-07-01,ESP,CB,RIGHT,76,79,73,70,73,76,78,76,30800000,3520000,ATM
Javi,Galán,1994-07-01,ESP,CB,RIGHT,77,77,74,71,74,77,79,77,33600000,3840000,ATM
Conor,Gallagher,2000-07-01,ENG,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,ATM
Nicolás,González,1998-07-01,ARG,CB,RIGHT,79,79,76,73,76,79,81,79,39200000,4480000,ATM
Dávid,Hancko,1997-07-01,SVK,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,ATM
Koke,-,1992-07-01,ESP,CM,RIGHT,81,81,83,75,83,81,63,81,44800000,5120000,ATM
Robin,Le Normand,1996-07-01,ESP,CB,RIGHT,82,82,79,76,79,82,84,82,47600000,5440000,ATM
Clément,Lenglet,1995-07-01,FRA,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,ATM
Marcos,Llorente,1995-07-01,ESP,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,ATM
Ademola,Lookman,1997-07-01,NGA,CM,RIGHT,77,77,79,71,79,77,59,77,33600000,3840000,ATM
Iker,Luque,2005-07-01,ESP,CB,RIGHT,78,81,75,72,75,78,80,78,36400000,4160000,ATM
José,María Giménez,1995-07-01,URU,CB,RIGHT,79,79,76,73,76,79,81,79,39200000,4480000,ATM
Daniel,Martinez,2004-07-01,ESP,CB,RIGHT,80,82,77,74,77,80,82,80,42000000,4800000,ATM
Rodrigo,Mendoza,2005-07-01,ESP,CM,RIGHT,81,84,83,75,83,81,63,81,44800000,5120000,ATM
Nahuel,Molina,1998-07-01,ARG,CB,RIGHT,82,82,79,76,79,82,84,82,47600000,5440000,ATM
Jano,Monserrate,2006-07-01,ESP,CM,RIGHT,83,87,85,77,85,83,65,83,50400000,5760000,ATM
Javi,Morcillo,2006-07-01,ESP,CM,RIGHT,76,80,78,70,78,76,58,76,30800000,3520000,ATM
Juan,Musso,1994-07-01,ARG,GK,RIGHT,77,77,35,20,62,25,20,77,33600000,3840000,ATM
Jan,Oblak,1993-07-01,SVN,GK,RIGHT,78,78,35,20,63,25,20,78,36400000,4160000,ATM
Marc,Pubill,2003-07-01,ESP,CB,RIGHT,79,80,76,73,76,79,81,79,39200000,4480000,ATM
Aleksa,Puric,2003-07-01,SRB,CB,RIGHT,80,81,77,74,77,80,82,80,42000000,4800000,ATM
Giacomo,Raspadori,2000-07-01,ITA,ST,RIGHT,81,81,83,84,78,81,63,81,44800000,5120000,ATM
Matteo,Ruggeri,2002-07-01,ITA,CB,RIGHT,82,82,79,76,79,82,84,82,47600000,5440000,ATM
Taufik,Seidu,2008-07-01,ESP,CM,RIGHT,83,89,85,77,85,83,65,83,50400000,5760000,ATM
Giuliano,Simeone,2002-07-01,ARG,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,ATM
Alexander,Sørloth,1995-07-01,NOR,ST,RIGHT,77,77,79,80,74,77,59,77,33600000,3840000,ATM
Obed,Vargas,2005-07-01,MEX,CM,RIGHT,78,81,80,72,80,78,60,78,36400000,4160000,ATM
Vasilije,Adžić,2006-07-01,MNE,CM,RIGHT,74,78,76,68,76,74,56,74,25200000,2880000,JUV
Jeremie,Boga,1997-07-01,CIV,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,JUV
Gleison,Bremer,1997-07-01,BRA,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,JUV
Andrea,Cambiaso,2000-07-01,ITA,CB,RIGHT,77,77,74,71,74,77,79,77,33600000,3840000,JUV
Francisco,Conceição,2002-07-01,POR,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,JUV
Juan,David Cabal,2001-07-01,COL,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,JUV
Jonathan,David,2000-07-01,CAN,ST,RIGHT,80,80,82,83,77,80,62,80,42000000,4800000,JUV
Michele,Di Gregorio,1997-07-01,ITA,GK,RIGHT,81,81,35,20,66,25,20,81,44800000,5120000,JUV
Federico,Gatti,1998-07-01,ITA,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,JUV
Emil,Holm,2000-07-01,SWE,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,JUV
Pierre,Kalulu,2000-07-01,FRA,CB,RIGHT,77,77,74,71,74,77,79,77,33600000,3840000,JUV
Lloyd,Kelly,1998-07-01,ENG,CB,RIGHT,78,78,75,72,75,78,80,78,36400000,4160000,JUV
Teun,Koopmeiners,1998-07-01,NED,CB,RIGHT,79,79,76,73,76,79,81,79,39200000,4480000,JUV
Filip,Kostić,1992-07-01,SRB,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,JUV
Manuel,Locatelli,1998-07-01,ITA,CM,RIGHT,81,81,83,75,83,81,63,81,44800000,5120000,JUV
João,Mário Lopes,2000-07-01,POR,CM,RIGHT,74,74,76,68,76,74,56,74,25200000,2880000,JUV
Weston,McKennie,1998-07-01,USA,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,JUV
Arkadiusz,Milik,1994-07-01,POL,ST,RIGHT,76,76,78,79,73,76,58,76,30800000,3520000,JUV
Fabio,Miretti,2003-07-01,ITA,CM,RIGHT,77,78,79,71,79,77,59,77,33600000,3840000,JUV
Loïs,Openda,2000-07-01,BEL,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,JUV
Mattia,Perin,1992-07-01,ITA,GK,RIGHT,79,79,35,20,64,25,20,79,39200000,4480000,JUV
Daniele,Rugani,1994-07-01,ITA,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,JUV
Khéphren,Thuram,2001-07-01,FRA,CM,RIGHT,81,81,83,75,83,81,63,81,44800000,5120000,JUV
Dušan,Vlahović,2000-07-01,SRB,ST,RIGHT,74,74,76,77,71,74,56,74,25200000,2880000,JUV
Kenan,Yıldız,2005-07-01,TUR,CM,RIGHT,75,78,77,69,77,75,57,75,28000000,3200000,JUV
Edon,Zhegrova,1999-07-01,KVX,CM,RIGHT,76,76,78,70,78,76,58,76,30800000,3520000,JUV
Ronald,Araújo,1999-07-01,URU,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,BAR
Alejandro,Balde,2003-07-01,ESP,CB,RIGHT,81,82,78,75,78,81,83,81,44800000,5120000,BAR
Roony,Bardghji,2005-07-01,SWE,CM,RIGHT,82,85,84,76,84,82,64,82,47600000,5440000,BAR
Marc,Bernal,2007-07-01,ESP,CM,RIGHT,83,88,85,77,85,83,65,83,50400000,5760000,BAR
João,Cancelo,1994-07-01,POR,CB,RIGHT,84,84,81,78,81,84,86,84,53200000,6080000,BAR
Marc,Casado,2003-07-01,ESP,CM,RIGHT,85,86,87,79,87,85,67,85,56000000,6400000,BAR
Andreas,Christensen,1996-07-01,DEN,CB,RIGHT,86,86,83,80,83,86,88,86,58800000,6720000,BAR
Alvaro,Cortes,2005-07-01,ESP,CB,RIGHT,87,90,84,81,84,87,89,87,61600000,7040000,BAR
Pau,Cubarsí,2007-07-01,ESP,CB,RIGHT,80,85,77,74,77,80,82,80,42000000,4800000,BAR
Xavi,Espart,2007-07-01,ESP,CB,RIGHT,81,86,78,75,78,81,83,81,44800000,5120000,BAR
Toni,Fernández,2008-07-01,ESP,ST,RIGHT,83,89,85,86,80,83,65,83,50400000,5760000,BAR
Eric,García,2001-07-01,ESP,CB,RIGHT,84,84,81,78,81,84,86,84,53200000,6080000,BAR
Joan,García,2001-07-01,ESP,GK,RIGHT,85,85,35,20,70,25,20,85,56000000,6400000,BAR
Gavi,-,2004-07-01,ESP,CM,RIGHT,86,88,88,80,88,86,68,86,58800000,6720000,BAR
Frenkie,de Jong,1997-07-01,NED,CM,RIGHT,87,87,89,81,89,87,69,87,61600000,7040000,BAR
Jules,Koundé,1998-07-01,FRA,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,BAR
Robert,Lewandowski,1988-07-01,POL,ST,RIGHT,81,81,83,84,78,81,63,81,44800000,5120000,BAR
Fermin,López,2003-07-01,ESP,CM,RIGHT,82,83,84,76,84,82,64,82,47600000,5440000,BAR
Tomas,Marques,2006-07-01,ESP,CM,RIGHT,83,87,85,77,85,83,65,83,50400000,5760000,BAR
Gerard,Martín,2002-07-01,ESP,CB,RIGHT,84,84,81,78,81,84,86,84,53200000,6080000,BAR
Dani,Olmo,1998-07-01,ESP,CM,RIGHT,85,85,87,79,87,85,67,85,56000000,6400000,BAR
Raphinha,-,1996-07-01,BRA,CM,RIGHT,86,86,88,80,88,86,68,86,58800000,6720000,BAR
Marcus,Rashford,1997-07-01,ENG,CM,RIGHT,87,87,89,81,89,87,69,87,61600000,7040000,BAR
Wojciech,Szczęsny,1990-07-01,POL,GK,RIGHT,80,80,35,20,65,25,20,80,42000000,4800000,BAR
Jofre,Torrents,2007-07-01,ESP,CB,RIGHT,81,86,78,75,78,81,83,81,44800000,5120000,BAR
Ferrán,Torres,2000-07-01,ESP,ST,RIGHT,82,82,84,85,79,82,64,82,47600000,5440000,BAR
Himad,Abdelli,1999-07-01,ALG,CM,RIGHT,68,68,70,62,70,68,50,68,8400000,960000,OM
Nayef,Aguerd,1996-07-01,MAR,CB,RIGHT,69,69,66,63,66,69,71,69,11200000,1280000,OM
Michael,Amir Murillo,1996-07-01,PAN,CB,RIGHT,70,70,67,64,67,70,72,70,14000000,1600000,OM
Pierre-Emerick,Aubameyang,1989-07-01,GAB,ST,RIGHT,71,71,73,74,68,71,53,71,16800000,1920000,OM
Darryl,Bakola,2007-07-01,FRA,CM,RIGHT,72,77,74,66,74,72,54,72,19600000,2240000,OM
Leonardo,Balerdi,1999-07-01,ARG,CB,RIGHT,73,73,70,67,70,73,75,73,22400000,2560000,OM
Derek,Cornelius,1997-07-01,CAN,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,OM
Jeffrey,De Lange,1998-07-01,NED,GK,RIGHT,75,75,35,20,60,25,20,75,28000000,3200000,OM
