first_name,last_name,birth_date,nationality,position,preferred_foot,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,salary,team_short_name
Noni,Madueke,2002-03-10,Unknown,CM,RIGHT,78,79,80,73,80,78,60,78,39000000,4550000,ARS
Mikel,Merino Zazón,1996-06-22,Unknown,CM,RIGHT,79,79,81,74,81,79,61,79,42000000,4900000,ARS
Gabriel,Martinelli Silva,2001-06-18,Unknown,CM,RIGHT,80,80,82,75,82,80,62,80,45000000,5250000,ARS
Martín,Zubimendi Ibáñez,1999-02-02,Unknown,CM,RIGHT,81,81,83,76,83,81,63,81,48000000,5600000,ARS
Max,Dowman,2009-12-31,Unknown,CM,RIGHT,82,90,84,77,84,82,64,82,51000000,5950000,ARS
Ethan,Nwaneri,2007-03-21,Unknown,CM,RIGHT,83,89,85,78,85,83,65,83,54000000,6300000,ARS
Fábio,Ferreira Vieira,2000-05-30,Unknown,CM,RIGHT,77,77,79,72,79,77,59,77,36000000,4200000,ARS
Reiss,Nelson,1999-12-10,Unknown,CM,RIGHT,78,78,80,73,80,78,60,78,39000000,4550000,ARS
Viktor,Gyökeres,1998-06-04,Unknown,ST,RIGHT,79,79,81,82,76,77,61,79,42000000,4900000,ARS
Kai,Havertz,1999-06-11,Unknown,ST,RIGHT,80,80,82,83,77,78,62,80,45000000,5250000,ARS
Gabriel,Fernando de Jesus,1997-04-03,Unknown,ST,RIGHT,81,81,83,84,78,79,63,81,48000000,5600000,ARS
Bruno,Guimarães Rodriguez Moura,1997-11-16,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,ARS
Christos,Tzolis,2002-01-30,Unknown,CM,RIGHT,83,84,85,78,85,83,65,83,54000000,6300000,ARS
Youri,Tielemans,1997-05-07,Unknown,CM,RIGHT,76,76,78,71,78,76,58,76,33000000,3850000,MUN
Andrey,Nascimento dos Santos,2004-05-03,Unknown,CM,RIGHT,77,80,79,72,79,77,59,77,36000000,4200000,MUN
Karl,Darlow,1990-10-08,Unknown,GK,RIGHT,78,78,35,20,63,25,20,73,39000000,4550000,MUN
Senne,Lammens,2002-07-07,Unknown,GK,RIGHT,79,80,35,20,64,25,20,74,42000000,4900000,MUN
Altay,Bayındır,1998-04-14,Unknown,GK,RIGHT,80,80,35,20,65,25,20,75,45000000,5250000,MUN
Tom,Heaton,1986-04-15,Unknown,GK,RIGHT,81,81,35,20,66,25,20,76,48000000,5600000,MUN
Patrick,Dorgu,2004-10-26,Unknown,CM,RIGHT,82,85,84,77,84,82,64,82,51000000,5950000,MUN
Matthijs,de Ligt,1999-08-12,Unknown,CB,RIGHT,76,76,71,71,73,74,78,76,33000000,3850000,MUN
Diogo,Dalot Teixeira,1999-03-18,Unknown,CB,RIGHT,77,77,72,72,74,75,79,77,36000000,4200000,MUN
Harry,Maguire,1993-03-05,Unknown,CB,RIGHT,78,78,73,73,75,76,80,78,39000000,4550000,MUN
Lisandro,Martínez,1998-01-18,Unknown,CB,RIGHT,79,79,74,74,76,77,81,79,42000000,4900000,MUN
Leny,Yoro,2005-11-13,Unknown,CB,RIGHT,80,84,75,75,77,78,82,80,45000000,5250000,MUN
Ayden,Heaven,2006-09-22,Unknown,CB,RIGHT,81,86,76,76,78,79,83,81,48000000,5600000,MUN
Noussair,Mazraoui,1997-11-14,Unknown,CB,RIGHT,82,82,77,77,79,80,84,82,51000000,5950000,MUN
Luke,Shaw,1995-07-12,Unknown,CB,RIGHT,76,76,71,71,73,74,78,76,33000000,3850000,MUN
Harry,Amass,2007-03-16,Unknown,CB,RIGHT,77,83,72,72,74,75,79,77,36000000,4200000,MUN
Tyler,Fredricson,2005-02-23,Unknown,CB,RIGHT,78,82,73,73,75,76,80,78,39000000,4550000,MUN
Bruno,Borges Fernandes,1994-09-08,Unknown,CM,RIGHT,79,79,81,74,81,79,61,79,42000000,4900000,MUN
Bryan,Mbeumo,1999-08-07,Unknown,CM,RIGHT,80,80,82,75,82,80,62,80,45000000,5250000,MUN
Matheus,Santos Carneiro da Cunha,1999-05-27,Unknown,CM,RIGHT,81,81,83,76,83,81,63,81,48000000,5600000,MUN
Marcus,Rashford,1997-10-31,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,MUN
Mason,Mount,1999-01-10,Unknown,CM,RIGHT,76,76,78,71,78,76,58,76,33000000,3850000,MUN
Amad,Diallo,2002-07-11,Unknown,CM,RIGHT,77,78,79,72,79,77,59,77,36000000,4200000,MUN
Kobbie,Mainoo,2005-04-19,Unknown,CM,RIGHT,78,82,80,73,80,78,60,78,39000000,4550000,MUN
Manuel,Ugarte Ribeiro,2001-04-11,Unknown,CM,RIGHT,79,79,81,74,81,79,61,79,42000000,4900000,MUN
Jack,Fletcher,2007-03-19,Unknown,CM,RIGHT,80,86,82,75,82,80,62,80,45000000,5250000,MUN
Shea,Lacey,2007-04-14,Unknown,CM,RIGHT,81,87,83,76,83,81,63,81,48000000,5600000,MUN
Toby,Collyer,2004-01-03,Unknown,CM,RIGHT,82,85,84,77,84,82,64,82,51000000,5950000,MUN
Tyler,Fletcher,2007-03-19,Unknown,CM,RIGHT,76,82,78,71,78,76,58,76,33000000,3850000,MUN
Benjamin,Sesko,2003-05-31,Unknown,ST,RIGHT,77,79,79,80,74,75,59,77,36000000,4200000,MUN
Joshua,Zirkzee,2001-05-22,Unknown,ST,RIGHT,78,78,80,81,75,76,60,78,39000000,4550000,MUN
Chido,Obi,2007-11-29,Unknown,ST,RIGHT,79,85,81,82,76,77,61,79,42000000,4900000,MUN
Alisson,Becker,1992-10-02,Unknown,GK,RIGHT,80,80,35,20,65,25,20,75,45000000,5250000,LIV
Giorgi,Mamardashvili,2000-09-29,Unknown,GK,RIGHT,81,81,35,20,66,25,20,76,48000000,5600000,LIV
Freddie,Woodman,1997-03-04,Unknown,GK,RIGHT,82,82,35,20,67,25,20,77,51000000,5950000,LIV
Vitezslav,Jaros,2001-07-23,Unknown,GK,RIGHT,83,83,35,20,68,25,20,78,54000000,6300000,LIV
Harvey,Davies,2003-09-03,Unknown,GK,RIGHT,84,86,35,20,69,25,20,79,57000000,6650000,LIV
Virgil,van Dijk,1991-07-08,Unknown,CB,RIGHT,85,85,80,80,82,83,87,85,60000000,7000000,LIV
Jeremie,Frimpong,2000-12-10,Unknown,CB,RIGHT,86,86,81,81,83,84,88,86,63000000,7350000,LIV
Milos,Kerkez,2003-11-07,Unknown,CB,RIGHT,80,82,75,75,77,78,82,80,45000000,5250000,LIV
Joe,Gomez,1997-05-23,Unknown,CB,RIGHT,81,81,76,76,78,79,83,81,48000000,5600000,LIV
Conor,Bradley,2003-07-09,Unknown,CB,RIGHT,82,84,77,77,79,80,84,82,51000000,5950000,LIV
Jeremy,Jacquet,2005-07-13,Unknown,CB,RIGHT,83,87,78,78,80,81,85,83,54000000,6300000,LIV
Giovanni,Leoni,2006-12-21,Unknown,CB,RIGHT,84,89,79,79,81,82,86,84,57000000,6650000,LIV
Kostas,Tsimikas,1996-05-12,Unknown,CB,RIGHT,85,85,80,80,82,83,87,85,60000000,7000000,LIV
Calvin,Ramsay,2003-07-31,Unknown,CB,RIGHT,86,88,81,81,83,84,88,86,63000000,7350000,LIV
Florian,Wirtz,2003-05-03,Unknown,CM,RIGHT,80,82,82,75,82,80,62,80,45000000,5250000,LIV
Cody,Gakpo,1999-05-07,Unknown,CM,RIGHT,81,81,83,76,83,81,63,81,48000000,5600000,LIV
Dominik,Szoboszlai,2000-10-25,Unknown,CM,RIGHT,82,82,84,77,84,82,64,82,51000000,5950000,LIV
Rio,Ngumoha,2008-08-29,Unknown,CM,RIGHT,83,90,85,78,85,83,65,83,54000000,6300000,LIV
Federico,Chiesa,1997-10-25,Unknown,CM,RIGHT,84,84,86,79,86,84,66,84,57000000,6650000,LIV
Ryan,Gravenberch,2002-05-16,Unknown,CM,RIGHT,85,86,87,80,87,85,67,85,60000000,7000000,LIV
Alexis,Mac Allister,1998-12-24,Unknown,CM,RIGHT,86,86,88,81,88,86,68,86,63000000,7350000,LIV
Curtis,Jones,2001-01-30,Unknown,CM,RIGHT,80,80,82,75,82,80,62,80,45000000,5250000,LIV
Endo,Wataru,1993-02-09,Unknown,CM,RIGHT,81,81,83,76,83,81,63,81,48000000,5600000,LIV
Trey,Nyoni,2007-06-30,Unknown,CM,RIGHT,82,88,84,77,84,82,64,82,51000000,5950000,LIV
Stefan,Bajčetić Maquieira,2004-10-22,Unknown,CM,RIGHT,83,86,85,78,85,83,65,83,54000000,6300000,LIV
Victor,Munoz,2003-07-13,Unknown,CM,RIGHT,84,86,86,79,86,84,66,84,57000000,6650000,LIV
James,McConnell,2004-09-13,Unknown,CM,RIGHT,85,88,87,80,87,85,67,85,60000000,7000000,LIV
Alexander,Isak,1999-09-21,Unknown,ST,RIGHT,86,86,88,89,83,84,68,86,63000000,7350000,LIV
Hugo,Ekitiké,2002-06-20,Unknown,ST,RIGHT,80,81,82,83,77,78,62,80,45000000,5250000,LIV
Lewis,Koumas,2005-09-19,Unknown,CM,RIGHT,81,85,83,76,83,81,63,81,48000000,5600000,LIV
Harvey,Elliott,2003-04-04,Unknown,CM,RIGHT,82,84,84,77,84,82,64,82,51000000,5950000,LIV
Ronald,Araujo,1999-03-07,Unknown,CB,RIGHT,83,83,78,78,80,81,85,83,54000000,6300000,LIV
